index,PDB_code
0,6W15
1,2O6N
2,1T8J
3,2N2T
4,7DNF
5,3R3K
6,4PNB
7,1QYS
8,6YWC
9,3TWG
10,2KI0
11,1LE3
12,4Z1R
13,6R5Y
14,6RX5
15,6WRV
16,2N1E
17,1SNE
18,2KLW
19,3Q7X
20,1ICO
21,3P6I
22,3WW8
23,1M3W
24,1J4M
25,7N3T
26,6WL1
27,3U29
28,1YMZ
29,1OVU
30,3TWE
31,2N2U
32,1G6U
33,4E88
34,2HYZ
35,3OW9
36,1L2Y
37,4G4M
38,3LJM
39,1N09
40,8T5E
41,3T4F
42,1QP6
43,6W46
44,2N6I
45,6XXV
46,1FMH
47,4E0M
48,1KD9
49,2FO7
50,7ZYU
51,8AED
52,1LE1
53,1K09
54,2N6H
55,1JM0
56,1Y47
57,3H5F
58,8TCF
59,6YWD
60,2EVQ
61,6MK1
62,2JRE
63,1PYZ
64,4G1A
65,4E0O
66,1MJ0
67,3Q7W
68,6R5Z
69,1N0A
70,2A3D
71,1JY4
72,2JST
73,6H5H
74,3RFJ
75,1LQ7
76,1N0R
77,1KDD
78,6UXS
79,1FSV
80,1P68
81,5YAN
82,3WWF
83,2QYJ
84,6TJ1
85,4JBC
86,6B85
87,1JMB
88,6W47
89,4L8I
90,6X1K
91,4E0N
92,1U0I
93,4PJS
94,3R46
95,5VMR
96,4E0L
97,3V45
98,3RFS
99,4JLR
100,5UP5
101,3TWF
102,1N0C
103,6R60
104,1NA3
105,3V86
106,6WKY
107,3WW7
108,1HCW
109,4NDL
110,2KDL
111,6TMS
112,1RH4
113,3WWB
114,1FME
115,1NVO
116,4G4L
117,3WN8
118,4K0C
119,7Z7C
120,4OYD
121,1U2U
122,1XOF
123,6WL0
124,2BH8
125,7DNG
126,4J4Z
127,5TGY
128,3AL1
129,1K43
130,3U1O
131,1VRZ
132,1JY9
133,4JXI
134,6M6Z
135,5KWD
136,3NI3
137,1COS
138,7DNE
139,3CAY
140,1ICL
141,4G3B
142,3P6J
143,2JUA
144,1PBZ
145,3U1V
146,3LTM
147,4DAC
148,2KIK
149,5TGW
150,5UP1
151,3OVJ
152,1EC5
153,1SNA
154,4E0K
155,3WW9
156,3WWA
157,1TJB
158,5LO4
159,6WRX
160,1TGG
161,2CW1
162,3RA3
163,3LTJ
164,4GVW
165,1VL3
166,3Q7Y
167,6B87
168,1JY6
169,5LO2
170,4PJQ
171,1DJF
172,4PJR
173,2AVP
174,1OVV
175,4N9G
176,1N0D
177,1AL1
178,1LT1
179,5UOI
180,5VID
181,8TCG
182,5UGK
183,4QTR
184,3J89
185,6IWB
186,2KDM
187,1NA0
188,6HQE
189,1PSV
190,1S9Z
191,6VZX
192,1FSD
193,5UYO
194,1SN9
195,2P0X
196,1OVR
197,2RT4
198,1LE0
199,3H5G
200,1KD8
201,5LO3
202,1N0Q
